seed,dimension,tau,splits,mmd,base_mc,base_nll,mc,nll
0,3,0.1,1,0.37594053046866394,22.56725819716567,5.4342354061303,22.351740048942695,5.933729213299663
0,3,0.1,3,0.37594053046866394,22.56725819716567,5.4342354061303,21.58716276360197,5.1604637036267755
0,3,1,1,0.3099016648194188,24.84349351215358,4.827127984154545,24.969870675166526,4.904191058961201
0,3,1,3,0.3099016648194188,24.84349351215358,4.827127984154545,24.026736230077766,4.778025133254174
0,3,5,1,0,33.43219372852578,4.594580102862834,32.61976247950076,4.5622383361875
0,3,5,3,0,33.43219372852578,4.594580102862834,32.06300359791847,4.69755763306261
0,5,0.1,1,0.3356266722423264,46.57649778137541,5.262713888071842,42.753744053395636,5.342154286157568
0,5,0.1,3,0.3356266722423264,46.57649778137541,5.262713888071842,39.85557745834262,5.2408570094742055
0,5,1,1,0.32410032677200556,51.46109778456727,5.090558632255723,49.29752999010675,5.063146926887623
0,5,1,3,0.32410032677200556,51.46109778456727,5.090558632255723,44.87207067690572,4.993680390877496
0,5,5,1,0.09799518566499013,63.81652115655551,5.374634001775801,61.52777648725276,5.261263952648155
0,5,5,3,0.09799518566499013,63.81652115655551,5.374634001775801,59.16760599093687,5.17980515832192
0,8,0.1,1,0.29667924380184485,67.9929262732601,5.422415144849209,65.36777629136,5.347861018746791
0,8,0.1,3,0.29667924380184485,67.9929262732601,5.422415144849209,62.594630388545035,5.300749090261488
0,8,1,1,0.2903108387417616,74.06894937553231,5.379504636693476,70.96071781385301,5.351605315355366
0,8,1,3,0.2903108387417616,74.06894937553231,5.379504636693476,66.44108938147629,5.3273506797353125
0,8,5,1,0.10820717497650165,84.19711654031997,5.656405303159628,81.3454307472054,5.537766948018686
0,8,5,3,0.10820717497650165,84.19711654031997,5.656405303159628,77.99734763612784,5.471519034553959
1,3,0.1,1,0.3948683235249644,20.29939946172164,5.889223275307315,18.050618206701078,6.334410871188195
1,3,0.1,3,0.3948683235249644,20.29939946172164,5.889223275307315,16.390637453248814,5.307356618159889
1,3,1,1,0.3378295081983781,22.322953319908486,5.164871352969946,24.53649724016582,5.499455170902333
1,3,1,3,0.3378295081983781,22.322953319908486,5.164871352969946,20.00201718986381,5.15635960433653
1,3,5,1,0.02467394136149753,32.0986811851822,4.576429277814715,31.05850488228787,4.5036043198897024
1,3,5,3,0.02467394136149753,32.0986811851822,4.576429277814715,30.07315699181784,4.457610934522206
1,5,0.1,1,0.3409771490330269,42.96325399471393,5.447662038710133,40.29307117351835,5.280659352074033
