seed,num_trees,base_mc,region_mc
0,1,51.46109778456727,49.90080438957155
0,5,51.46109778456727,48.360669820797334
0,10,51.46109778456727,47.318719197178474
0,15,51.46109778456727,44.30385241715135
0,20,51.46109778456727,44.266400801722156
0,30,51.46109778456727,45.03881327367817
0,40,51.46109778456727,46.666726844597186
0,50,51.46109778456727,44.79436048624845
0,60,51.46109778456727,44.27533065784441
0,80,51.46109778456727,44.34038360396085
0,100,51.46109778456727,44.84524311392721
0,dt,51.46109778456727,44.87207067690572
1,1,47.27291320470861,41.15181594546022
1,5,47.27291320470861,38.766262083910895
1,10,47.27291320470861,39.52059292447329
1,15,47.27291320470861,39.26510097695177
1,20,47.27291320470861,36.99446140218097
1,30,47.27291320470861,36.868008941584286
1,40,47.27291320470861,36.234632673765425
1,50,47.27291320470861,36.35038928635563
1,60,47.27291320470861,35.88639588409713
1,80,47.27291320470861,36.0753300225599
1,100,47.27291320470861,35.58297428621306
1,dt,47.27291320470861,39.054239791414496
2,1,45.57445693324724,41.0648002130032
2,5,45.57445693324724,42.23700052355179
2,10,45.57445693324724,44.03226499212561
2,15,45.57445693324724,40.2981825695946
2,20,45.57445693324724,42.242693821371525
2,30,45.57445693324724,39.68872132269411
2,40,45.57445693324724,39.831647386134726
2,50,45.57445693324724,37.57351417433932
2,60,45.57445693324724,39.024233033949095
2,80,45.57445693324724,40.61183746680964
2,100,45.57445693324724,41.99739861844011
2,dt,45.57445693324724,44.220446559563825
3,1,44.421742972690474,39.874371969799824
3,5,44.421742972690474,37.31951614116721
3,10,44.421742972690474,34.462445040745024
3,15,44.421742972690474,35.606507233278286
3,20,44.421742972690474,35.51025296572682
3,30,44.421742972690474,34.74282236641602
3,40,44.421742972690474,34.90665050528015
3,50,44.421742972690474,34.17128113954725
3,60,44.421742972690474,34.46789929561088
3,80,44.421742972690474,34.50909315152202
3,100,44.421742972690474,34.08472359034604
3,dt,44.421742972690474,36.508356388858296
4,1,46.15142245320005,42.42482338212094
4,5,46.15142245320005,40.69223604577259
4,10,46.15142245320005,39.82817847581621
4,15,46.15142245320005,38.830089149698125
4,20,46.15142245320005,39.734599046237136
4,30,46.15142245320005,39.132579867277755
4,40,46.15142245320005,38.95403885233822
4,50,46.15142245320005,39.40533382594125
4,60,46.15142245320005,38.39674433063774
4,80,46.15142245320005,38.94453407397988
4,100,46.15142245320005,37.845587928149044
4,dt,46.15142245320005,40.60125739994005
5,1,49.52369555524583,36.853544080399274
5,5,49.52369555524583,40.076711182541615
5,10,49.52369555524583,37.36431766580479
5,15,49.52369555524583,36.57721869374733
5,20,49.52369555524583,33.553228706182736
5,30,49.52369555524583,35.088886507770354
5,40,49.52369555524583,33.92298462785482
5,50,49.52369555524583,36.49965856956807
5,60,49.52369555524583,33.021976733524376
5,80,49.52369555524583,34.32215680832581
5,100,49.52369555524583,34.283741296656935
5,dt,49.52369555524583,35.214856802412086
6,1,48.30467333806655,38.36284475100089
6,5,48.30467333806655,34.913573629692735
6,10,48.30467333806655,37.77940080995317
6,15,48.30467333806655,38.420405723961046
6,20,48.30467333806655,35.487635806581075
6,30,48.30467333806655,37.068028070906045
6,40,48.30467333806655,35.81557848106197
6,50,48.30467333806655,35.62703690128205
6,60,48.30467333806655,36.34058425045888
6,80,48.30467333806655,34.73696189570228
6,100,48.30467333806655,34.803272936877214
6,dt,48.30467333806655,36.202487142019976
7,1,54.61703106009207,48.95926646821765
7,5,54.61703106009207,45.1802146849962
7,10,54.61703106009207,40.07212371733877
7,15,54.61703106009207,40.967337824943584
7,20,54.61703106009207,41.42834328620985
7,30,54.61703106009207,40.590661629705394
7,40,54.61703106009207,38.855558961178424
7,50,54.61703106009207,39.95045823160152
7,60,54.61703106009207,39.42544672465005
7,80,54.61703106009207,39.080903546744715
7,100,54.61703106009207,38.94633717869464
7,dt,54.61703106009207,42.72971805725384
8,1,46.109618881408174,43.28865660448284
8,5,46.109618881408174,40.26480713112856
8,10,46.109618881408174,39.70137813204948
8,15,46.109618881408174,39.760097286063875
8,20,46.109618881408174,39.565522618355395
8,30,46.109618881408174,38.91954073608879
8,40,46.109618881408174,38.76876427089744
8,50,46.109618881408174,38.788490201115145
8,60,46.109618881408174,38.2519927460745
8,80,46.109618881408174,38.448118955252426
8,100,46.109618881408174,38.494416749420076
8,dt,46.109618881408174,40.25917735068443
9,1,45.67686275725505,39.866012918628265
9,5,45.67686275725505,39.12129874040102
9,10,45.67686275725505,39.02013430924019
9,15,45.67686275725505,39.10484883697732
9,20,45.67686275725505,38.437576019879
9,30,45.67686275725505,35.31500848438803
9,40,45.67686275725505,36.13032316238124
9,50,45.67686275725505,36.255007973222874
9,60,45.67686275725505,36.636896302363986
9,80,45.67686275725505,36.31971428707772
9,100,45.67686275725505,35.34236128806119
9,dt,45.67686275725505,37.37145607468033
